dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1722621600,3,1508.71,0.12,52.78,20.03,4.89,39.33,46.05,12.29
1722625200,3,1375.2,0.03,46.61,25.03,4.53,40.95,47.12,10.77
1722628800,3,1148.22,0.0,32.9,38.27,4.11,39.73,44.75,8.49
1722632400,3,907.9,0.0,20.73,50.78,3.7,34.21,37.87,6.46
1722636000,3,747.68,0.0,13.88,55.07,3.19,27.16,30.03,5.32
1722639600,2,694.27,0.0,12.0,48.64,2.98,23.59,26.3,5.57
1722643200,2,687.6,0.0,12.17,42.92,2.92,22.66,25.28,6.46
1722646800,2,727.65,0.01,15.08,39.7,2.92,23.4,25.92,7.03
1722650400,3,974.66,0.91,28.1,29.33,3.37,25.64,28.51,7.09
1722654000,3,1321.79,5.03,41.13,25.39,4.17,27.79,30.82,7.16
1722657600,2,867.84,1.49,19.88,83.68,7.63,20.84,22.37,4.75
1722661200,3,727.65,1.17,12.0,114.44,8.94,17.58,18.75,4.18
1722664800,3,660.9,0.82,7.54,138.76,10.49,17.91,18.95,4.12
1722668400,4,580.79,0.48,4.16,144.48,7.87,16.43,17.12,3.17
1722672000,4,567.44,0.47,4.07,141.62,7.09,16.63,17.21,3.04
1722675600,4,587.46,0.53,4.67,141.62,7.33,17.17,17.75,3.2
1722679200,4,607.49,0.54,5.65,141.62,8.34,17.54,18.13,3.32
1722682800,3,647.54,0.53,7.63,133.04,8.82,15.9,16.47,3.32
1722686400,3,700.95,0.42,10.71,117.3,8.11,12.4,12.92,3.2
1722690000,3,774.38,0.28,15.77,100.14,7.57,9.54,10.16,3.55
1722693600,2,834.47,0.06,19.88,83.68,7.15,8.52,9.46,4.62
1722697200,2,821.11,0.0,19.02,73.67,6.26,7.91,9.16,5.45
1722700800,2,854.49,0.0,20.22,63.66,4.47,8.59,10.46,6.71
1722704400,1,907.9,0.0,22.62,52.93,3.61,9.93,12.54,7.6
1722708000,2,961.3,0.0,25.02,45.42,3.55,10.89,13.88,7.41
1722711600,2,934.6,0.0,23.65,42.2,3.58,11.05,13.64,6.46
1722715200,2,821.11,0.0,17.48,43.99,3.55,10.91,12.81,5.45
1722718800,2,707.63,0.0,12.17,47.21,3.67,10.42,11.86,4.81
1722722400,1,627.52,0.0,9.17,52.21,4.41,9.29,10.36,4.18
1722726000,1,594.14,0.0,8.4,52.93,5.19,8.62,9.6,3.89
1722729600,1,594.14,0.0,8.83,52.93,5.72,8.54,9.49,3.67
1722733200,1,614.17,0.0,10.45,52.93,5.72,8.7,9.81,3.93
1722736800,1,714.3,0.28,17.14,52.21,6.5,9.36,10.89,4.69
1722740400,2,841.14,1.93,22.96,61.51,7.87,10.13,11.92,5.26
1722744000,2,694.27,1.61,16.28,92.98,8.58,8.79,9.95,3.96
1722747600,3,587.46,0.91,11.31,108.72,8.58,8.43,9.3,3.48
1722751200,3,520.71,0.52,8.31,114.44,8.94,8.67,9.38,3.2
1722754800,3,480.65,0.27,7.11,110.15,8.46,8.49,9.05,2.85
1722758400,3,473.98,0.17,7.63,100.14,7.57,8.06,8.54,2.66
1722762000,2,487.33,0.09,8.31,92.98,6.56,7.74,8.18,2.53
1722765600,2,507.35,0.03,9.34,84.4,6.44,8.12,8.57,2.56
1722769200,2,534.06,0.03,10.62,75.82,6.38,9.51,10.0,2.91
1722772800,2,580.79,0.08,13.19,69.38,5.96,11.17,11.7,3.13
1722776400,2,794.41,0.3,25.02,55.07,4.53,13.41,14.27,4.43
1722780000,2,974.66,0.07,33.24,40.41,3.93,15.44,16.86,5.83
1722783600,2,1041.41,0.0,34.62,34.69,4.17,17.18,19.21,6.59
1722787200,2,1014.71,0.0,30.85,36.12,4.17,17.9,20.34,6.78
1722790800,2,1001.36,0.0,28.79,37.55,3.99,17.57,20.31,6.9
1722794400,2,1028.06,0.01,29.82,34.69,3.99,16.95,19.81,6.71
1722798000,2,1014.71,0.01,28.45,32.54,3.78,15.56,18.1,6.52
1722801600,2,1001.36,0.01,25.36,31.11,3.93,14.68,17.13,6.84
1722805200,2,1001.36,0.01,22.96,28.25,4.23,15.1,18.06,8.04
1722808800,2,1001.36,0.03,23.31,20.21,4.29,17.16,21.24,10.13
1722812400,2,1014.71,0.15,23.99,11.44,4.65,19.84,25.03,12.16
1722816000,2,1028.06,0.84,25.36,4.96,5.3,22.51,28.47,14.95
1722819600,3,1108.17,5.14,26.39,0.75,6.32,25.41,31.62,16.21
1722823200,3,1441.96,22.13,27.08,0.77,6.79,29.75,35.95,12.92
1722826800,4,1762.39,38.0,-9999.0,1.65,6.5,31.96,37.43,9.63
1722830400,2,907.9,3.27,32.22,33.26,8.94,17.94,20.04,4.12
1722834000,2,794.41,2.99,26.05,46.49,12.64,14.2,16.06,4.18
1722837600,2,814.44,2.91,23.99,63.66,17.64,14.77,16.64,4.75
1722841200,2,560.76,1.17,12.85,82.25,15.97,9.86,10.82,2.69
1722844800,2,500.68,0.66,11.14,82.25,13.23,8.19,8.93,2.56
1722848400,2,514.03,0.47,12.51,75.82,13.35,7.37,8.1,2.85
1722852000,2,540.73,0.54,15.08,68.66,15.74,7.13,7.93,3.29
1722855600,2,594.14,0.43,18.68,61.51,18.12,7.45,8.39,3.93
1722859200,1,674.25,0.27,22.62,52.93,17.17,7.52,8.56,4.56
1722862800,2,1068.12,0.8,44.55,26.82,13.59,9.91,11.58,7.28
1722866400,2,1615.52,6.26,63.75,2.79,10.49,15.27,18.37,11.27
1722870000,2,1949.31,14.98,65.12,0.09,9.06,20.71,25.37,13.05
1722873600,2,2082.82,18.55,63.06,0.02,7.45,24.98,31.26,13.3
1722877200,3,2029.42,21.01,56.89,0.01,6.02,27.72,35.6,12.67
1722880800,3,1976.01,24.59,51.41,0.0,5.3,29.1,38.12,11.53
1722884400,3,1735.69,21.01,45.93,0.01,4.47,27.77,36.31,9.88
1722888000,2,1321.79,7.49,41.13,0.93,3.64,24.65,31.6,8.11
1722891600,2,921.25,0.22,27.76,15.91,3.19,21.24,26.2,6.71
1722895200,2,647.54,0.0,13.71,40.05,3.64,18.37,21.42,5.51
1722898800,2,580.79,0.0,10.11,44.7,4.05,18.53,20.82,5.32
1722902400,2,587.46,0.0,9.77,43.27,4.47,20.15,22.05,5.19
1722906000,2,620.84,0.0,10.88,43.27,5.36,20.81,22.35,4.62
1722909600,2,761.03,0.32,18.68,38.62,6.62,20.28,21.95,4.62
1722913200,2,988.01,2.32,29.47,32.54,8.34,18.22,20.1,5.13
1722916800,2,1068.12,4.25,31.19,41.13,9.66,15.12,17.05,5.32
1722920400,2,1001.36,3.74,26.73,63.66,12.16,13.76,15.58,5.26
1722924000,3,961.3,2.77,21.93,100.14,16.69,16.49,18.28,5.32
1722927600,3,794.41,1.36,14.39,134.47,21.22,20.04,21.38,4.18
1722931200,4,727.65,1.05,11.65,157.36,23.84,25.05,26.17,3.55
1722934800,5,707.63,0.94,10.71,183.11,24.8,32.59,33.67,3.39
1722938400,5,647.54,0.81,9.6,185.97,18.84,33.89,34.85,3.32
1722942000,4,614.17,0.81,10.54,165.94,14.42,29.8,30.72,3.64
1722945600,4,640.87,0.83,14.05,148.77,13.83,27.41,28.42,4.18
1722949200,3,881.2,0.75,30.5,118.73,14.07,28.55,29.99,6.02
1722952800,3,1148.22,0.1,44.55,85.83,13.11,30.77,32.92,8.36
1722956400,3,1161.58,0.0,39.76,70.81,9.78,31.32,33.95,8.49
1722960000,3,1001.36,0.0,27.08,70.81,7.15,31.49,34.08,7.16
1722963600,3,961.3,0.0,25.02,60.8,6.85,29.63,32.25,6.02
1722967200,2,934.6,0.0,25.7,54.36,7.27,24.45,26.86,4.94
1722970800,2,847.82,0.0,22.62,54.36,6.91,19.25,21.2,4.18
1722974400,2,754.36,0.0,18.34,52.21,5.84,15.32,17.06,3.99
1722978000,2,634.19,0.0,12.85,51.5,4.77,12.7,14.18,3.8
1722981600,2,560.76,0.0,8.91,55.79,4.59,11.36,12.55,3.67
1722985200,2,534.06,0.0,7.11,64.37,5.25,10.87,11.85,3.55
1722988800,2,554.08,0.0,7.11,74.39,5.9,11.33,12.18,3.45
1722992400,2,620.84,0.0,9.51,82.97,6.74,12.77,13.7,3.51
1722996000,2,847.82,0.04,21.59,77.25,9.18,15.35,16.79,4.18
1722999600,2,1241.68,0.8,42.84,60.08,13.95,18.44,20.44,5.07
1723003200,2,1455.31,3.46,50.72,61.51,20.98,21.03,23.36,5.64
1723006800,3,1588.82,6.71,51.41,77.96,29.09,25.0,27.7,6.46
1723010400,3,1682.28,7.26,50.04,117.3,37.19,33.01,35.9,7.22
1723014000,4,1161.58,2.85,26.73,174.52,33.86,36.65,38.59,4.81
1723017600,5,847.82,0.99,15.77,188.83,25.27,35.8,37.3,3.86
1723021200,5,761.03,0.55,14.39,180.24,21.7,33.37,34.82,4.05
1723024800,4,854.49,0.91,21.42,163.08,18.6,32.34,33.95,5.38
1723028400,4,1201.63,2.43,38.04,151.63,20.5,37.47,39.57,7.28
1723032000,3,1602.17,3.69,54.15,137.33,19.79,41.13,43.71,8.11
1723035600,3,1668.93,2.54,56.21,107.29,12.04,35.37,38.11,7.98
1723039200,3,1375.2,0.28,43.18,83.68,7.63,27.22,29.92,7.41
1723042800,2,1068.12,0.0,28.45,80.82,6.56,23.06,25.62,6.65
1723046400,2,854.49,0.0,19.88,85.83,5.6,21.24,23.59,5.7
1723050000,2,807.76,0.0,18.68,82.25,4.83,21.09,23.48,5.32
1723053600,2,814.44,0.0,19.71,76.53,4.71,21.09,23.42,5.0
1723057200,2,794.41,0.0,18.85,72.96,4.59,20.45,22.41,4.75
1723060800,2,781.06,0.0,16.45,70.81,4.95,19.91,21.68,5.0
1723064400,2,774.38,0.0,14.57,67.95,5.78,19.36,21.16,5.7
1723068000,2,767.71,0.0,13.54,62.94,7.15,18.7,20.61,6.21
1723071600,2,727.65,0.0,11.82,62.94,8.23,18.85,20.62,5.76
1723075200,2,674.25,0.0,10.02,65.09,7.87,19.23,20.7,5.07
1723078800,2,687.6,0.0,11.31,64.37,6.74,17.67,18.99,4.81
1723082400,2,1001.36,0.02,30.16,44.35,7.27,18.54,20.54,6.14
1723086000,2,1762.39,6.43,66.49,7.78,9.66,22.34,25.39,8.74
1723089600,3,2216.34,20.12,70.6,5.99,10.13,24.21,27.79,9.75
1723093200,2,1815.8,7.82,62.38,14.84,8.7,20.02,23.11,7.73
1723096800,2,1201.63,1.33,38.39,43.63,8.58,15.22,17.33,6.33
1723100400,2,680.92,0.55,15.08,80.11,11.21,11.38,12.44,4.31
1723104000,2,600.81,0.94,10.8,98.71,10.37,12.28,13.15,3.86
1723107600,3,594.14,1.1,9.34,111.58,9.66,15.06,15.93,3.83
1723111200,3,594.14,1.1,9.42,118.73,10.01,17.45,18.3,3.8
1723114800,3,614.17,1.13,11.65,113.01,10.73,17.97,18.85,3.96
1723118400,3,667.57,1.12,16.11,103.0,11.09,18.34,19.27,4.24
1723122000,2,1575.47,7.71,63.06,40.77,8.94,24.74,26.92,8.74
1723125600,3,2616.88,30.4,84.31,1.88,7.75,34.85,39.3,13.81
1723129200,3,3124.24,54.99,73.34,0.0,7.99,43.51,50.12,15.45
1723132800,3,3097.53,56.77,63.75,0.0,7.99,47.23,55.12,15.2
1723136400,3,2723.69,44.26,54.15,0.0,7.09,46.72,55.07,13.93
1723140000,3,2483.37,37.1,50.72,0.0,6.26,45.89,54.58,12.29
1723143600,3,2136.23,25.03,51.41,0.01,5.13,42.92,51.01,10.13
1723147200,3,1735.69,9.39,54.15,0.56,4.35,40.2,47.82,8.61
1723150800,3,1321.79,0.34,43.87,15.56,3.99,36.92,43.58,7.35
1723154400,3,1014.71,0.0,27.42,31.47,3.78,33.32,39.16,6.52
1723158000,3,934.6,0.01,22.62,27.54,3.73,32.07,38.03,7.16
1723161600,3,921.25,0.04,22.28,21.28,3.99,31.55,37.52,8.36
1723165200,3,1001.36,0.47,27.42,11.8,4.29,31.51,37.31,9.37
1723168800,3,1455.31,14.53,35.99,4.25,5.36,34.01,40.06,10.01
1723172400,3,1976.01,33.97,43.18,9.66,7.03,36.31,42.1,10.13
1723176000,2,947.95,4.86,27.42,68.66,15.74,24.32,26.63,5.51
1723179600,3,787.73,2.74,18.68,105.86,17.64,25.22,27.05,4.88
1723183200,4,714.3,1.47,12.17,143.05,17.4,30.63,32.33,4.81
1723186800,4,607.49,0.78,6.94,153.06,12.64,29.43,30.7,4.02
1723190400,4,600.81,0.73,6.51,155.93,11.21,30.48,31.63,4.02
1723194000,4,634.19,0.79,7.2,160.22,11.21,32.63,33.78,4.31
1723197600,4,667.57,0.85,8.4,163.08,12.04,34.37,35.53,4.5
1723201200,4,714.3,0.92,10.62,157.36,12.52,35.03,36.21,4.75
1723204800,4,794.41,0.96,14.91,145.91,12.04,34.68,35.89,5.13
1723208400,3,1214.98,1.33,39.07,107.29,10.01,37.16,38.95,7.54
1723212000,3,1695.63,0.29,63.06,61.51,8.11,41.07,44.05,10.77
1723215600,3,1869.2,0.0,66.49,40.41,7.09,43.65,47.88,12.41
1723219200,3,1735.69,0.0,56.21,38.98,5.9,42.75,47.79,12.29
1723222800,3,1428.6,0.0,42.5,46.49,4.89,39.65,44.84,10.77
1723226400,3,1228.33,0.0,34.62,55.07,4.53,37.52,42.34,8.87
1723230000,3,1041.41,0.0,25.02,69.38,4.29,36.62,40.44,7.03
1723233600,3,881.2,0.0,15.77,82.97,3.76,37.25,40.13,5.76
1723237200,3,781.06,0.0,9.6,92.98,3.4,37.68,39.84,5.0
1723240800,3,727.65,0.0,6.77,98.71,3.67,36.85,38.46,4.56
1723244400,3,707.63,0.0,6.0,97.27,4.11,35.01,36.38,4.62
1723248000,3,707.63,0.0,6.25,94.41,4.65,33.54,34.77,4.81
1723251600,3,747.68,0.0,8.05,92.98,5.25,32.03,33.19,4.88
1723255200,3,881.2,0.05,15.59,86.55,6.08,30.92,32.26,4.94
1723258800,3,1094.82,0.86,25.02,82.25,7.51,30.38,31.92,5.13
1723262400,3,1148.22,1.51,24.33,94.41,8.82,29.12,30.67,5.07
1723266000,3,1094.82,1.02,20.22,111.58,10.13,26.76,28.22,5.0
1723269600,3,1028.06,0.55,17.14,120.16,12.04,24.17,25.5,5.0
1723273200,3,894.55,0.24,13.02,127.32,15.02,19.76,20.69,4.02
1723276800,3,867.84,0.2,13.19,128.75,16.93,18.64,19.45,3.83
1723280400,3,907.9,0.18,14.91,127.32,18.6,19.23,20.06,3.99
1723284000,3,961.3,0.32,16.45,130.18,20.27,20.89,21.74,4.05
1723287600,3,974.66,0.52,16.28,137.33,19.79,22.46,23.3,3.96
1723291200,4,974.66,0.54,16.96,140.19,18.12,22.97,23.8,3.96
1723294800,3,1335.14,0.85,37.36,108.72,13.59,25.64,26.99,6.02
1723298400,3,1762.39,0.19,55.52,68.66,9.06,29.31,31.63,8.23
1723302000,3,1842.5,0.0,54.84,50.07,6.97,31.07,34.33,9.25
1723305600,3,1628.88,0.0,41.13,55.07,5.54,30.32,33.79,8.74
1723309200,3,1321.79,0.0,27.08,69.38,4.65,27.7,30.72,7.03
1723312800,2,1121.52,0.0,20.56,79.39,4.47,24.78,27.17,5.64
1723316400,2,947.95,0.0,14.91,87.98,5.13,21.86,23.54,4.62
1723320000,2,881.2,0.0,12.51,87.98,6.44,20.91,22.3,4.37
1723323600,2,827.79,0.0,10.02,89.41,8.46,20.23,21.43,4.12
1723327200,2,814.44,0.0,8.74,85.83,8.94,19.21,20.4,4.31
1723330800,2,854.49,0.0,8.83,75.1,7.75,19.5,20.94,5.07
1723334400,2,894.55,0.0,-9999.0,66.52,7.21,19.92,21.59,6.08
1723338000,2,974.66,0.0,14.05,56.51,6.85,20.47,22.38,6.71
1723341600,2,1255.04,0.01,28.45,38.27,7.03,22.2,24.6,6.59
1723345200,2,1682.28,0.26,49.35,19.67,8.11,24.19,26.88,6.33
1723348800,2,1815.8,0.11,52.09,23.6,9.06,23.09,25.63,5.95
1723352400,2,1708.98,0.11,47.3,25.75,8.11,20.04,22.61,5.76
1723356000,2,1255.04,0.11,30.5,37.55,6.38,15.34,17.26,4.88
1723359600,2,834.47,0.17,13.37,50.07,6.2,11.96,12.85,3.45
1723363200,2,774.38,0.14,12.17,43.27,6.08,11.23,11.93,3.36
1723366800,2,747.68,0.15,12.68,43.27,6.08,10.32,10.96,3.39
1723370400,1,761.03,0.8,13.37,55.79,6.14,9.7,10.35,3.55
1723374000,2,854.49,1.63,15.77,73.67,5.66,10.14,10.87,3.83
1723377600,2,974.66,2.46,21.08,78.68,5.13,10.96,11.8,4.18
1723381200,2,1361.85,3.8,41.13,52.21,4.47,13.24,14.7,5.76
1723384800,2,1869.2,2.88,65.8,13.77,4.47,17.66,20.58,8.04
1723388400,2,2056.12,5.81,69.23,1.59,4.77,21.62,25.99,9.25
1723392000,2,2002.72,6.71,64.43,0.88,4.65,23.87,29.41,9.63
1723395600,2,1695.63,2.71,55.52,3.62,3.99,23.03,28.98,8.36
1723399200,2,1321.79,0.36,41.13,14.31,3.52,19.44,24.64,6.59
1723402800,2,1174.93,0.31,34.62,15.2,2.92,17.29,21.8,5.57
1723406400,2,1268.39,1.22,36.33,5.05,2.98,19.34,24.42,6.46
1723410000,2,1268.39,1.49,33.24,2.75,3.49,21.55,27.16,8.36
1723413600,2,1255.04,1.44,30.5,2.3,4.35,24.03,30.05,11.02
1723417200,3,1255.04,1.41,28.1,2.06,4.95,26.28,32.65,11.78
1723420800,3,1281.74,2.68,26.73,1.05,5.25,28.29,35.08,12.03
1723424400,3,1401.9,8.27,26.39,0.17,5.48,30.23,37.71,12.54
1723428000,3,1922.61,30.85,28.45,1.45,6.5,34.81,43.68,12.79
1723431600,3,2696.99,58.11,40.1,5.72,8.11,40.39,49.85,12.41
1723435200,2,1041.41,5.2,25.02,68.66,15.97,18.49,21.22,5.64
1723438800,3,794.41,2.15,13.88,103.0,12.99,15.51,17.21,4.43
1723442400,3,687.6,1.19,8.91,121.59,11.8,16.68,18.03,4.37
1723446000,3,634.19,0.87,6.68,128.75,11.09,17.97,19.08,4.24
1723449600,3,627.52,0.85,6.43,135.9,11.21,20.89,21.82,3.96
1723453200,4,640.87,0.91,6.85,144.48,11.92,24.74,25.61,3.8
1723456800,4,660.9,0.96,8.05,153.06,13.95,28.91,29.8,3.83
1723460400,4,694.27,1.1,10.54,153.06,15.74,31.22,32.19,4.12
1723464000,3,747.68,1.31,15.59,138.76,16.45,29.88,30.93,4.5
1723467600,3,1789.09,8.16,71.29,58.65,13.95,34.34,36.87,9.88
1723471200,3,3231.05,35.32,106.93,2.5,12.16,45.48,50.99,18.24
1723474800,4,4219.06,69.74,105.56,0.0,12.64,57.08,65.79,25.84
1723478400,4,4753.11,84.94,106.93,0.0,13.35,66.64,78.49,33.44
1723482000,4,4486.08,76.0,102.82,0.0,11.21,68.45,82.39,32.42
1723485600,4,3791.81,59.9,93.22,0.0,8.7,63.78,78.17,26.85
1723489200,4,2696.99,32.63,76.09,0.0,6.26,52.26,64.31,17.99
1723492800,3,1869.2,11.18,61.01,0.23,4.71,44.41,54.48,12.54
1723496400,3,1401.9,1.24,45.93,5.28,4.05,40.48,49.25,10.39
1723500000,3,1134.87,0.05,31.19,16.09,3.99,38.81,46.64,9.5
1723503600,3,1001.36,0.01,23.31,21.99,4.05,38.36,45.55,9.12
1723507200,3,961.3,0.03,21.25,21.82,4.17,38.59,45.48,8.99
1723510800,3,1041.41,0.23,26.39,15.2,4.47,39.3,46.42,9.12
1723514400,3,1482.01,9.05,39.41,7.96,6.02,43.06,50.76,10.51
1723518000,3,2056.12,25.26,52.09,20.56,9.78,49.28,56.69,11.78
1723521600,4,1762.39,12.18,51.41,74.39,18.12,53.98,58.97,10.39
1723525200,4,1668.93,7.26,45.93,138.76,25.75,65.41,70.0,10.51
1723528800,5,1588.82,3.58,36.33,234.6,32.42,87.99,92.42,10.39
1723532400,5,907.9,1.01,12.0,237.46,28.37,68.27,70.33,4.75
1723536000,5,707.63,0.66,7.37,214.58,18.12,52.25,53.61,3.61
1723539600,5,680.92,0.68,7.54,205.99,15.5,47.13,48.4,3.86
1723543200,5,674.25,0.72,8.14,197.41,13.59,44.21,45.52,4.37
1723546800,5,707.63,0.85,10.71,188.83,13.83,44.09,45.53,5.13
1723550400,4,781.06,0.96,16.62,175.95,15.5,44.98,46.59,5.89
1723554000,4,1895.9,4.41,87.05,85.12,16.21,53.07,56.15,11.4
1723557600,4,3631.59,26.82,153.54,3.98,17.17,67.48,73.47,19.76
1723561200,5,4966.74,67.06,164.51,0.0,19.07,82.11,91.52,28.88
1723564800,5,5714.42,82.25,169.99,0.0,20.03,93.01,105.8,35.46
1723568400,5,5180.36,70.63,141.2,0.0,14.31,93.08,107.97,29.89
1723572000,5,3952.03,49.17,100.08,0.0,8.82,85.79,100.57,21.53
1723575600,5,2429.96,17.66,69.92,0.19,5.3,75.11,86.72,14.44
1723579200,4,1588.82,1.06,49.35,10.28,4.11,69.84,78.52,10.77
1723582800,4,1201.63,0.0,27.76,32.9,3.81,67.62,74.45,8.74
1723586400,4,1001.36,0.0,16.96,49.35,3.81,65.39,70.86,7.6
1723590000,4,894.55,0.0,11.31,63.66,3.87,64.11,68.46,6.9
1723593600,4,847.82,0.0,8.74,76.53,3.99,62.78,66.25,6.59
1723597200,4,847.82,0.0,8.91,90.12,4.83,60.64,63.48,6.33
1723600800,4,988.01,0.14,17.82,87.26,6.68,60.04,62.9,6.71
1723604400,4,1201.63,1.36,30.16,85.12,11.09,60.53,63.56,7.28
1723608000,4,1041.41,1.49,23.65,115.87,17.88,52.87,55.58,6.4
1723611600,4,988.01,1.45,20.05,131.61,20.03,50.67,53.48,6.59
1723615200,4,1001.36,1.19,17.82,150.2,22.17,53.29,56.13,7.03
1723618800,4,988.01,0.91,15.08,168.8,23.13,57.95,60.73,7.28
1723622400,5,988.01,0.76,13.71,183.11,23.84,61.25,63.88,7.16
1723626000,5,1001.36,0.71,13.71,191.69,25.03,61.64,64.12,6.78
1723629600,5,1028.06,0.8,15.25,200.27,27.89,60.14,62.51,6.46
1723633200,5,1068.12,1.03,19.19,208.85,31.47,58.69,60.94,6.27
1723636800,5,1148.22,1.22,27.42,200.27,32.9,55.49,57.63,6.27
1723640400,4,2216.34,3.02,95.96,117.3,30.28,61.4,64.73,11.15
1723644000,4,3578.19,7.26,169.99,15.56,24.8,74.25,80.01,17.48
1723647600,5,3952.03,28.39,161.77,0.01,18.84,82.27,90.25,21.03
1723651200,5,4165.65,40.23,142.57,0.0,15.5,89.24,99.18,22.04
1723654800,5,4486.08,42.92,134.35,0.0,14.19,97.68,109.46,19.76
1723658400,5,4753.11,42.47,127.49,0.0,12.28,103.63,116.64,16.72
1723662000,5,4272.46,34.87,106.93,0.0,9.66,97.63,110.0,12.54
1723665600,5,3097.53,18.33,74.03,0.04,7.33,81.21,91.42,9.12
1723669200,4,1922.61,2.6,45.24,6.79,6.14,64.47,71.66,6.97
1723672800,4,1161.58,0.0,16.28,50.78,7.09,56.18,59.78,5.26
1723676400,4,1081.47,0.0,11.14,63.66,7.75,55.42,58.21,4.75
1723680000,4,1148.22,0.0,11.48,70.81,8.7,57.7,60.42,4.69
1723683600,4,1281.74,0.0,14.91,77.25,9.3,61.45,64.26,4.75
1723687200,4,1535.42,0.02,29.47,72.96,9.66,59.86,62.91,5.0
1723690800,4,1869.2,0.76,50.72,65.8,10.13,54.68,57.69,4.81
1723694400,3,1655.58,0.01,43.18,80.82,10.01,40.51,42.69,4.24
1723698000,3,1401.9,0.0,32.56,83.68,9.42,36.07,37.97,4.31
1723701600,3,1214.98,0.0,24.68,82.97,9.18,36.82,38.42,4.43
1723705200,3,1054.76,0.0,18.85,77.25,8.46,33.03,34.15,3.89
1723708800,3,1014.71,0.0,18.68,70.81,7.33,27.42,28.29,3.29
1723712400,3,1041.41,0.0,20.22,65.8,6.5,25.08,25.91,3.04
1723716000,2,1094.82,0.05,22.28,64.37,6.85,24.42,25.29,3.1
1723719600,2,1174.93,0.05,27.08,62.94,8.7,24.15,25.1,3.45
1723723200,2,1348.5,0.06,36.67,55.07,10.97,24.2,25.25,3.89
1723726800,3,2696.99,23.69,79.51,6.97,10.97,32.1,34.72,8.74
1723730400,3,4486.08,90.3,86.37,0.02,12.76,46.37,52.02,18.24
1723734000,4,5287.17,125.17,97.33,0.0,16.21,59.06,67.45,31.41
1723737600,4,5393.98,126.96,112.41,0.0,18.6,67.99,78.36,44.58
1723741200,4,5287.17,125.17,116.53,0.0,18.12,74.72,86.63,50.16
1723744800,5,5126.95,121.59,109.67,0.0,15.02,77.42,89.82,43.57
1723748400,5,4699.71,110.86,97.33,0.0,10.73,75.03,86.63,30.15
1723752000,4,4539.49,108.18,83.63,0.0,8.94,74.95,86.33,26.35
1723755600,5,4859.92,125.17,73.34,0.0,9.18,80.54,92.01,30.65
1723759200,5,5180.36,141.26,65.12,0.0,9.66,86.19,98.68,36.98
1723762800,5,5233.76,146.63,58.26,0.0,9.89,90.32,102.8,40.02
1723766400,5,5340.58,150.2,54.15,0.0,10.49,94.87,106.88,42.56
1723770000,5,5447.39,150.2,50.72,0.0,10.61,98.28,110.06,40.02
1723773600,5,5767.82,162.72,47.3,0.25,10.37,101.6,114.08,31.92
1723777200,5,6195.07,178.81,51.41,1.72,10.61,103.27,115.77,25.59
1723780800,5,3524.78,46.04,86.37,4.02,26.7,95.05,101.25,11.53
1723784400,5,2910.61,19.45,90.48,13.23,32.9,88.16,93.04,9.12
1723788000,5,2777.1,13.86,91.85,27.18,37.19,82.57,86.93,8.49
1723791600,3,1508.71,2.49,45.93,82.25,35.29,49.74,51.67,2.53
1723795200,3,1094.82,0.76,26.73,100.14,25.03,30.23,31.41,2.28
1723798800,2,1028.06,0.39,23.65,97.27,18.84,20.7,21.78,2.98
1723802400,2,1468.66,0.75,47.3,60.8,15.14,18.92,20.69,5.89
1723806000,3,2349.85,5.76,85.68,13.59,14.66,22.95,25.79,8.99
1723809600,3,3311.16,34.87,98.71,0.86,15.97,27.25,30.84,10.89
1723813200,3,4486.08,82.25,102.82,2.84,15.97,33.62,38.4,13.81
1723816800,3,5554.2,121.59,108.3,0.18,15.5,42.54,49.36,16.47
1723820400,4,6088.26,144.84,105.56,0.0,15.5,51.95,60.92,17.99
1723824000,4,6141.66,144.84,101.45,0.0,14.07,58.47,69.3,17.99
1723827600,4,5928.04,132.32,97.33,0.0,11.56,61.23,73.81,16.97
1723831200,4,5554.2,119.81,90.48,0.0,9.42,60.75,74.61,16.47
1723834800,4,4806.52,101.03,78.83,0.0,7.75,55.73,69.12,14.95
1723838400,3,3631.59,66.16,63.06,0.0,6.14,47.54,59.08,12.92
1723842000,3,2349.85,25.7,49.35,0.1,4.29,38.23,46.63,9.37
1723845600,2,1108.17,0.09,24.33,35.05,3.22,22.95,25.61,4.69
1723849200,2,774.38,0.0,7.88,56.51,3.04,15.08,16.16,3.55
1723852800,2,720.98,0.0,5.4,60.08,3.19,12.12,12.86,3.42
1723856400,2,754.36,0.0,7.45,57.22,3.61,11.15,11.83,3.26
1723860000,2,921.25,0.08,16.28,47.21,4.41,11.17,12.12,3.29
1723863600,2,1201.63,1.29,29.47,34.33,5.54,12.23,13.52,3.39
1723867200,2,1321.79,3.58,30.85,44.35,6.2,12.31,13.75,3.23
1723870800,2,1268.39,3.46,26.05,74.39,7.75,12.85,14.33,3.42
1723874400,3,1201.63,2.79,21.08,118.73,10.97,16.62,18.08,3.77
1723878000,4,1201.63,1.72,17.99,173.09,16.45,25.26,26.67,4.02
1723881600,5,1255.04,1.26,17.48,208.85,22.65,34.15,35.53,4.05
1723885200,5,1295.09,1.05,17.82,228.88,28.37,39.5,40.8,3.8
